Run Timestamp,City,Station,Address,Regular,Regular Updated,Midgrade,Midgrade Updated,Premium,Premium Updated,Diesel,Diesel Updated
2026-02-25_21-47-34,La Mirada,EGas,15754 Imperial Hwy,3.99,,4.19,,4.39,,4.79,
2026-02-25_21-47-34,La Mirada,ARCO,15700 Valley View Ave,4.09,,4.23,,4.35,,4.69,
2026-02-25_21-47-34,La Mirada,ARCO,13550 S Beach Blvd,4.19,,4.39,,4.49,,,
2026-02-25_21-47-34,La Mirada,Shell,14910 Beach Blvd,4.53,,4.73,,4.93,,5.09,
2026-02-25_21-47-34,La Mirada,76,14152 Imperial Hwy,4.53,,4.73,,4.93,,4.49,
2026-02-25_21-47-34,La Mirada,76,15003 Imperial Hwy,4.74,,4.19,,4.35,,,
2026-02-25_21-47-34,La Mirada,Chevron,15354 La Mirada Blvd,4.79,,4.95,,5.09,,,
2026-02-25_21-47-34,La Mirada,Shell,14204 Rosecrans Ave,4.83,,4.19,,4.35,,5.19,
2026-02-25_21-47-34,La Mirada,Chevron,14021 Valley View Ave,4.95,,4.19,,4.35,,,
2026-02-25_21-47-34,La Habra,Berri Brothers,619 E La Habra Blvd,4.09,,4.29,,4.39,,4.65,
2026-02-25_21-47-34,La Habra,ARCO,1401 E Lambert Rd,4.09,,4.29,,4.49,,4.89,
2026-02-25_21-47-34,La Habra,Costco,101 N Beach Blvd,4.15,,,,4.45,,,
2026-02-25_21-47-34,La Habra,Sam's Club,1390 S Beach Blvd,4.15,,,,4.45,,,
2026-02-25_21-47-34,La Habra,G&M,1950 W La Habra Blvd,4.29,,4.49,,4.59,,4.69,
2026-02-25_21-47-34,La Habra,Speedway,101 E Whittier Blvd,4.39,,4.59,,4.69,,,
2026-02-25_21-47-34,La Habra,76,601 W Imperial Hwy,4.64,,4.84,,4.99,,4.65,
2026-02-25_21-47-34,La Habra,Shell,101 E Imperial Hwy,4.74,,4.94,,5.04,,4.99,
2026-02-25_21-47-34,La Habra,Chevron,101 E Lambert Rd,4.79,,4.99,,5.19,,4.89,
2026-02-25_21-47-34,La Habra,Chevron,110 S Harbor Blvd,4.79,,4.99,,5.19,,4.89,
2026-02-25_21-47-34,La Habra,Chevron,1150 W La Habra Blvd,,,4.99,,,,4.89,
2026-02-25_21-47-34,La Habra,Speedway,619 E La Habra Blvd,,,4.29,,,,,
2026-02-25_21-47-34,La Habra,ARCO,619 E La Habra Blvd,,,,,,,4.65,
2026-02-25_21-47-34,La Habra,76,619 E La Habra Blvd,,,,,,,4.65,
2026-02-25_21-47-34,Whittier,Super 8,10802 Whittier Blvd,3.99,,4.19,,4.39,,,
2026-02-25_21-47-34,Whittier,76,8803 Painter Ave,3.99,,4.19,,4.39,,,
2026-02-25_21-47-34,Whittier,ARCO,12525 Hadley St,4.05,,4.25,,4.45,,,
2026-02-25_21-47-34,Whittier,ARCO,13010 E Lambert Rd,4.15,,4.19,,4.39,,,
2026-02-25_21-47-34,Whittier,G&M,12559 Lambert Rd,4.29,,4.49,,4.59,,4.69,
2026-02-25_21-47-34,Whittier,Mobil,11253 E Whittier Blvd,4.77,,,,,,,
2026-02-25_21-47-34,Whittier,Chevron,12911 Whittier Blvd,4.79,,4.99,,5.19,,4.89,
2026-02-25_21-47-34,Whittier,Chevron,10808 E Beverly Blvd,4.79,,4.99,,5.19,,,
2026-02-25_21-47-34,Whittier,Chevron,15735 Leffingwell Rd,4.79,,4.99,,5.19,,4.89,
2026-02-25_21-47-34,Whittier,Chevron,14941 E Whittier Blvd,4.99,,4.19,,5.39,,4.69,
2026-02-25_21-47-34,Whittier,ARCO,10802 Whittier Blvd,,,4.19,,4.39,,,
2026-02-25_21-47-34,Whittier,76,12559 Lambert Rd,,,,,,,4.69,
2026-02-25_21-47-34,Santa Fe Springs,ARCO,10717 Carmenita Rd,4.05,,4.25,,4.45,,,
2026-02-25_21-47-34,Santa Fe Springs,ARCO,12606 Rosecrans Ave,4.09,,4.39,,4.59,,,
2026-02-25_21-47-34,Santa Fe Springs,Chevron,13363 Telegraph Rd,4.79,,4.99,,5.19,,4.89,
2026-02-25_21-47-34,Santa Fe Springs,Chevron,11770 E Washington Blvd,4.79,,4.99,,5.19,,4.89,
2026-02-25_21-47-34,Santa Fe Springs,Shell,13352 Imperial Hwy,4.83,,5.03,,5.23,,4.89,
2026-02-25_21-47-34,Santa Fe Springs,Chevron,11426 Telegraph Rd,4.99,,5.19,,5.37,,,
2026-02-25_21-47-34,Santa Fe Springs,Mobil,11405 Florence Ave,4.99,,5.19,,5.37,,5.09,
2026-02-25_21-47-34,Santa Fe Springs,76,11651 Telegraph Rd,4.99,,4.25,,4.45,,4.89,
2026-02-25_21-47-34,Santa Fe Springs,REG - C NRG Fleet,10717 Carmenita Rd,4.05,,4.25,,4.45,,4.99,
2026-02-25_21-47-34,Santa Fe Springs,US Fleet Services,13363 Telegraph Rd,,,,,,,4.89,
2026-02-25_21-47-34,Buena Park,E-Z Gas,6000 Orangethorpe Ave,4.05,,4.25,,4.45,,4.79,
2026-02-25_21-47-34,Buena Park,Speedway Express,7510 Orangethorpe Ave,4.19,,4.39,,4.49,,,
2026-02-25_21-47-34,Buena Park,ARCO,7990 S Knott Ave,4.19,,4.39,,4.49,,4.99,
2026-02-25_21-47-34,Buena Park,7-Eleven,8495 Western Ave,4.41,,4.71,,4.91,,4.64,
2026-02-25_21-47-34,Buena Park,76,7760 Crescent Ave,4.54,,4.69,,4.84,,,
2026-02-25_21-47-34,Buena Park,Valero,5231 Beach Blvd,4.58,,4.78,,4.93,,,
2026-02-25_21-47-34,Buena Park,76,5262 Beach Blvd,4.64,,4.84,,4.99,,5.04,
2026-02-25_21-47-34,Buena Park,Chevron,7990 Valley View St,4.79,,4.99,,,,4.64,
2026-02-25_21-47-34,Buena Park,Chevron,6971 Beach Blvd,4.79,,4.99,,5.19,,4.89,
2026-02-25_21-47-34,Buena Park,Mobil,8510 Knott Ave,4.79,,,,5.19,,4.89,
2026-02-25_21-47-34,Buena Park,76,6971 Orangethorpe Ave,,,4.89,,,,4.99,
2026-02-25_21-47-34,Buena Park,Chevron,7250 Artesia Blvd,,,,,5.25,,4.95,
2026-02-25_21-47-34,Buena Park,Chevron,6392 Beach Blvd,,,,,,,4.99,
2026-02-25_21-47-34,Norwalk,Costco,12324 Hoxie Ave,4.05,,,,4.39,,,
2026-02-25_21-47-34,Norwalk,ARCO,10602 E Imperial Hwy,4.05,,4.25,,4.45,,4.99,
2026-02-25_21-47-34,Norwalk,Cosmic Fuel,16516 Pioneer Blvd,4.19,,4.39,,4.49,,4.79,
2026-02-25_21-47-34,Norwalk,ARCO,15604 S Pioneer Blvd,4.29,,,,,,,
2026-02-25_21-47-34,Norwalk,7-Eleven,11461 Firestone Blvd,4.35,,4.65,,4.85,,,
2026-02-25_21-47-34,Norwalk,7-Eleven,10962 Alondra Blvd,4.58,,4.88,,5.08,,,
2026-02-25_21-47-34,Norwalk,76,11353 Imperial Hwy,4.62,,4.82,,4.97,,,
2026-02-25_21-47-34,Norwalk,Chevron,10916 Rosecrans Ave,4.79,,4.99,,5.19,,4.89,
2026-02-25_21-47-34,Norwalk,Chevron,12042 E Firestone Blvd,4.79,,4.99,,5.17,,4.69,
2026-02-25_21-47-34,Norwalk,Chevron,10951 Imperial Hwy,4.79,,4.99,,5.19,,,
2026-02-25_21-47-34,Norwalk,Chevron,10641 Firestone Blvd,,,4.93,,5.13,,4.83,
2026-02-25_21-47-34,Norwalk,Shell,11821 Rosecrans Ave,,,4.99,,,,4.99,
2026-02-25_21-47-34,Norwalk,Shell,10710 Alondra Ave,,,,,,,5.15,
2026-02-25_21-47-34,Norwalk,Chevron,12155 Imperial Hwy,,,,,,,5.25,
2026-02-25_21-47-34,Norwalk,Mobil,12042 E Firestone Blvd,,,,,,,4.69,
2026-02-25_21-47-34,Norwalk,76,12042 E Firestone Blvd,,,,,,,4.69,
2026-02-25_21-47-34,Cerritos,ARCO,12157 Artesia Blvd,4.25,,4.39,,4.99,,,
2026-02-25_21-47-34,Cerritos,Chevron,11355 Artesia Blvd,4.69,,4.79,,4.99,,,
2026-02-25_21-47-34,Cerritos,Chevron,11007 South St,4.69,,4.39,,5.09,,4.99,
2026-02-25_21-47-34,Cerritos,Shell,11004 South St,4.85,,4.39,,4.99,,4.99,
2026-02-25_21-47-34,Cerritos,Chevron,13356 South St,4.89,,5.09,,5.29,,4.99,
2026-02-25_21-47-34,Cerritos,Chevron,17255 Bloomfield Ave,4.89,,4.39,,4.99,,4.99,
2026-02-25_21-47-34,Cerritos,Shell,16821 Norwalk Blvd,4.89,,4.39,,4.99,,,
2026-02-25_21-47-34,Fullerton,Sinclair,1101 W Commonwealth Ave,3.95,,4.15,,4.25,,4.29,
2026-02-25_21-47-34,Fullerton,Sinclair,351 N Placentia Ave,3.95,,4.15,,4.35,,,
2026-02-25_21-47-34,Fullerton,FUEL UP!,1124 E Chapman Ave,3.99,,4.19,,4.29,,4.79,
2026-02-25_21-47-34,Fullerton,SMP Energy,1133 E Commonwealth Ave,3.99,,4.19,,4.29,,4.79,
2026-02-25_21-47-34,Fullerton,ARCO,401 N Placentia Ave,3.99,,4.29,,4.49,,,
2026-02-25_21-47-34,Fullerton,Sam's Club,603 S Placentia Ave,4.02,,,,4.36,,4.6,
2026-02-25_21-47-34,Fullerton,Costco,910 S Harbor Blvd,4.05,,,,4.39,,,
2026-02-25_21-47-34,Fullerton,ARCO,1202 E Orangethorpe Ave,4.05,,,,,,,
2026-02-25_21-47-34,Fullerton,ARCO,2840 E Imperial Hwy,4.09,,4.29,,4.39,,,
2026-02-25_21-47-34,Fullerton,Ralphs,1001 N Harbor Blvd,4.09,,4.29,,4.49,,4.59,
2026-02-25_21-47-34,Fullerton,Sinclair,3001 Yorba Linda Blvd,,,4.49,,,,,
2026-02-25_21-47-34,Fullerton,Mobil,2800 Imperial Hwy,,,4.57,,4.67,,4.69,
2026-02-25_21-47-34,Fullerton,ARCO,1000 W Valencia Dr,,,4.59,,,,,
2026-02-25_21-47-34,Fullerton,7-Eleven,1000 W Orangethorpe Ave,,,,,,,4.69,
2026-02-25_21-47-34,Fullerton,Chevron,1201 E Orangethorpe Ave,,,,,,,4.89,
2026-02-25_21-47-34,Fullerton,Chevron,944 W Orangethorpe Ave,,,,,,,4.89,
2026-02-25_21-47-34,Fullerton,76,100 W Bastanchury Rd,,,,,,,4.89,
2026-02-25_21-47-34,Brea,Gulf,3300 E Imperial Hwy,4.05,,4.25,,4.35,,4.69,
2026-02-25_21-47-34,Brea,Speedway Express,120 E Imperial Hwy,4.29,,4.49,,4.59,,4.99,
2026-02-25_21-47-34,Brea,Speedway Express,718 S Brea Blvd,4.29,,4.49,,4.59,,,
2026-02-25_21-47-34,Brea,76,1200 E Imperial Hwy,4.45,,4.65,,4.79,,4.79,
2026-02-25_21-47-34,Brea,76,1203 W Lambert Rd,4.59,,4.25,,4.35,,4.69,
2026-02-25_21-47-34,Brea,Shell,365 W Central Ave,4.69,,4.25,,4.35,,4.99,
2026-02-25_21-47-34,Brea,76,2405 E Imperial Hwy,4.69,,4.99,,4.35,,4.69,
2026-02-25_21-47-34,Brea,Chevron,700 E Imperial Hwy,4.85,,5.05,,5.23,,5.19,
2026-02-25_21-47-34,Brea,76,3300 E Imperial Hwy,4.05,,4.25,,4.35,,,
2026-02-25_21-47-34,Anaheim,OSK Gas,2800 E Lincoln Ave,3.89,,4.09,,4.29,,,
2026-02-25_21-47-34,Anaheim,Excaliber Fuels,1199 S State College Blvd,3.95,,4.15,,4.25,,4.55,
2026-02-25_21-47-34,Anaheim,ARCO,2445 E Ball Rd,3.95,,,,,,,
2026-02-25_21-47-34,Anaheim,G&M,100 N Beach Blvd,3.99,,4.09,,4.19,,4.39,
2026-02-25_21-47-34,Anaheim,Berri Brothers,2180 W Ball Rd,3.99,,4.19,,4.29,,4.35,
2026-02-25_21-47-34,Anaheim,ARCO,1801 S State College Blvd,3.99,,4.19,,4.39,,4.57,
2026-02-25_21-47-34,Anaheim,World,1201 N Harbor Blvd,3.99,,4.19,,4.39,,,
2026-02-25_21-47-34,Anaheim,Thrifty,2811 W Lincoln Ave,3.99,,4.19,,4.39,,,
2026-02-25_21-47-34,Anaheim,ARCO,100 S Beach Blvd,3.99,,4.19,,,,4.49,
2026-02-25_21-47-34,Anaheim,G&M,300 S Brookhurst Ave,4.09,,4.29,,4.39,,,
2026-02-25_21-47-34,Anaheim,Berri Brothers,260 S Euclid St,,,4.29,,4.39,,4.49,
2026-02-25_21-47-34,Anaheim,ARCO,3101 E La Palma Ave,,,,,4.39,,,
2026-02-25_21-47-34,Anaheim,ARCO,1201 S Brookhurst St,,,,,,,4.37,
2026-02-25_21-47-34,Anaheim,G&M,2530 E La Palma Ave,,,,,,,4.49,
2026-02-25_21-47-34,Anaheim,ARCO,1700 W La Palma Ave,,,,,,,4.49,
2026-02-25_21-47-34,Anaheim,Chevron,3901 E Riverdale Ave,,,,,,,4.59,
