Run Timestamp,City,Station,Address,Regular,Regular Updated,Midgrade,Midgrade Updated,Premium,Premium Updated,Diesel,Diesel Updated
2026-02-18_14-49-16,La Mirada,EGas,15754 Imperial Hwy,3.95,,4.09,,4.15,,4.79,
2026-02-18_14-49-16,La Mirada,ARCO,15700 Valley View Ave,3.97,,4.11,,4.23,,4.79,
2026-02-18_14-49-16,La Mirada,ARCO,13550 S Beach Blvd,4.19,,4.09,,4.15,,,
2026-02-18_14-49-16,La Mirada,Shell,14910 Beach Blvd,4.47,,4.67,,4.87,,5.05,
2026-02-18_14-49-16,La Mirada,Chevron,15354 La Mirada Blvd,4.79,,4.09,,5.09,,,
2026-02-18_14-49-16,La Mirada,Shell,14204 Rosecrans Ave,4.93,,4.09,,4.15,,5.29,
2026-02-18_14-49-16,La Mirada,Chevron,14021 Valley View Ave,4.95,,4.09,,4.15,,,
2026-02-18_14-49-16,La Mirada,76,15754 Imperial Hwy,3.95,,4.09,,4.15,,4.79,
2026-02-18_14-49-16,La Mirada,76,15754 Imperial Hwy,3.95,,4.09,,4.15,,,
2026-02-18_14-49-16,La Habra,ARCO,1401 E Lambert Rd,3.99,,4.19,,4.39,,4.89,
2026-02-18_14-49-16,La Habra,Sam's Club,1390 S Beach Blvd,4.04,,,,4.34,,,
2026-02-18_14-49-16,La Habra,Costco,101 N Beach Blvd,4.05,,,,4.34,,,
2026-02-18_14-49-16,La Habra,Berri Brothers,619 E La Habra Blvd,4.05,,4.25,,4.35,,4.55,
2026-02-18_14-49-16,La Habra,G&M,1950 W La Habra Blvd,4.29,,4.49,,4.59,,4.59,
2026-02-18_14-49-16,La Habra,Speedway,101 E Whittier Blvd,4.39,,4.59,,4.69,,,
2026-02-18_14-49-16,La Habra,Shell,101 E Imperial Hwy,4.54,,4.74,,4.84,,4.79,
2026-02-18_14-49-16,La Habra,76,601 W Imperial Hwy,4.59,,4.79,,4.93,,4.95,
2026-02-18_14-49-16,La Habra,Chevron,1150 W La Habra Blvd,4.69,,4.89,,5.09,,4.79,
2026-02-18_14-49-16,La Habra,Chevron,101 E Lambert Rd,4.69,,4.89,,5.09,,4.79,
2026-02-18_14-49-16,La Habra,Chevron,110 S Harbor Blvd,,,4.89,,,,4.79,
2026-02-18_14-49-16,La Habra,Speedway,1401 E Lambert Rd,,,4.19,,,,,
2026-02-18_14-49-16,La Habra,ARCO,619 E La Habra Blvd,,,,,,,4.55,
2026-02-18_14-49-16,La Habra,76,619 E La Habra Blvd,,,,,,,4.55,
2026-02-18_14-49-16,Whittier,Super 8,10802 Whittier Blvd,3.89,,4.05,,4.25,,,
2026-02-18_14-49-16,Whittier,76,8803 Painter Ave,3.89,,4.09,,4.29,,,
2026-02-18_14-49-16,Whittier,ARCO,13010 E Lambert Rd,3.99,,4.19,,4.39,,,
2026-02-18_14-49-16,Whittier,ARCO,12525 Hadley St,3.99,,4.19,,4.39,,,
2026-02-18_14-49-16,Whittier,G&M,12559 Lambert Rd,4.29,,4.49,,4.59,,4.59,
2026-02-18_14-49-16,Whittier,Mobil,11253 E Whittier Blvd,4.67,,,,,,,
2026-02-18_14-49-16,Whittier,Chevron,12911 Whittier Blvd,4.69,,4.89,,5.09,,4.79,
2026-02-18_14-49-16,Whittier,Chevron,15735 Leffingwell Rd,4.69,,4.89,,5.09,,4.89,
2026-02-18_14-49-16,Whittier,76,13709 E Whittier Blvd,4.79,,,,,,4.59,
2026-02-18_14-49-16,Whittier,Chevron,10808 E Beverly Blvd,4.89,,,,5.29,,,
2026-02-18_14-49-16,Whittier,Chevron,14941 E Whittier Blvd,,,5.19,,5.39,,4.99,
2026-02-18_14-49-16,Whittier,ARCO,10802 Whittier Blvd,,,4.05,,4.25,,,
2026-02-18_14-49-16,Whittier,ARCO,10802 Whittier Blvd,,,4.05,,,,,
