Run Timestamp,City,Station,Address,Regular,Regular Updated,Midgrade,Midgrade Updated,Premium,Premium Updated,Diesel,Diesel Updated
2026-02-25_21-53-37,La Mirada,EGas,15754 Imperial Hwy,3.99,,4.19,,4.39,,4.79,
2026-02-25_21-53-37,La Mirada,ARCO,15700 Valley View Ave,4.09,,4.23,,4.35,,4.69,
2026-02-25_21-53-37,La Mirada,ARCO,13550 S Beach Blvd,4.19,,4.39,,4.49,,,
2026-02-25_21-53-37,La Mirada,Shell,14910 Beach Blvd,4.53,,4.73,,4.93,,5.09,
2026-02-25_21-53-37,La Mirada,76,14152 Imperial Hwy,4.53,,4.73,,4.93,,4.49,
2026-02-25_21-53-37,La Mirada,76,15003 Imperial Hwy,4.74,,4.19,,4.35,,,
2026-02-25_21-53-37,La Mirada,Chevron,15354 La Mirada Blvd,4.79,,4.95,,5.09,,,
2026-02-25_21-53-37,La Mirada,Shell,14204 Rosecrans Ave,4.83,,4.19,,4.35,,5.19,
2026-02-25_21-53-37,La Mirada,Chevron,14021 Valley View Ave,4.95,,4.19,,4.35,,,
2026-02-25_21-53-37,La Habra,Berri Brothers,619 E La Habra Blvd,4.09,,4.29,,4.39,,4.65,
2026-02-25_21-53-37,La Habra,ARCO,1401 E Lambert Rd,4.09,,4.29,,4.49,,4.89,
2026-02-25_21-53-37,La Habra,Costco,101 N Beach Blvd,4.15,,,,4.45,,,
2026-02-25_21-53-37,La Habra,Sam's Club,1390 S Beach Blvd,4.15,,,,4.45,,,
2026-02-25_21-53-37,La Habra,G&M,1950 W La Habra Blvd,4.29,,4.49,,4.59,,4.69,
2026-02-25_21-53-37,La Habra,Speedway,101 E Whittier Blvd,4.39,,4.59,,4.69,,,
2026-02-25_21-53-37,La Habra,76,601 W Imperial Hwy,4.64,,4.84,,4.99,,4.65,
2026-02-25_21-53-37,La Habra,Shell,101 E Imperial Hwy,4.74,,4.94,,5.04,,4.99,
2026-02-25_21-53-37,La Habra,Chevron,101 E Lambert Rd,4.79,,4.99,,5.19,,4.89,
2026-02-25_21-53-37,La Habra,Chevron,110 S Harbor Blvd,4.79,,4.99,,5.19,,4.89,
2026-02-25_21-53-37,La Habra,Chevron,1150 W La Habra Blvd,,,4.99,,,,4.89,
2026-02-25_21-53-37,La Habra,Speedway,619 E La Habra Blvd,,,4.29,,,,,
2026-02-25_21-53-37,La Habra,ARCO,619 E La Habra Blvd,,,,,,,4.65,
2026-02-25_21-53-37,La Habra,76,619 E La Habra Blvd,,,,,,,4.65,
